qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	sscinames	stitle	sblastnames
comp642_c0_seq1	sp|Q9GMY3|PEPC_RHIFE	79.55	44	9	0	1	132	346	389	3e-17	78.2	N/A	Gastricsin OS=Rhinolophus ferrumequinum GN=PGC PE=2 SV=1	N/A
comp685_c0_seq1	sp|P04323|POL3_DROME	54.35	46	21	0	205	68	426	471	2e-09	57.0	N/A	Retrovirus-related Pol polyprotein from transposon 17.6 OS=Drosophila melanogaster GN=pol PE=4 SV=1	N/A
comp5440_c0_seq1	sp|Q6NZ06|ILF2_DANRE	95.71	70	3	0	2	211	111	180	2e-36	 130	N/A	Interleukin enhancer-binding factor 2 homolog OS=Danio rerio GN=ilf2 PE=2 SV=1	N/A
comp5711_c0_seq1	sp|P10394|POL4_DROME	45.90	61	33	0	21	203	551	611	2e-11	63.2	N/A	Retrovirus-related Pol polyprotein from transposon 412 OS=Drosophila melanogaster GN=POL PE=4 SV=1	N/A
comp5731_c0_seq1	sp|P64322|RECG_MYCTU	74.03	77	20	0	2	232	374	450	9e-33	 124	N/A	ATP-dependent DNA helicase RecG OS=Mycobacterium tuberculosis GN=recG PE=3 SV=1	N/A
comp12721_c0_seq1	sp|Q15084|PDIA6_HUMAN	72.06	136	38	0	2	409	43	178	7e-59	 194	N/A	Protein disulfide-isomerase A6 OS=Homo sapiens GN=PDIA6 PE=1 SV=1	N/A
comp12721_c0_seq1	sp|Q15084|PDIA6_HUMAN	50.55	91	40	2	2	262	178	267	8e-23	96.3	N/A	Protein disulfide-isomerase A6 OS=Homo sapiens GN=PDIA6 PE=1 SV=1	N/A
comp14441_c0_seq1	sp|P34743|BTG1_CHICK	86.21	29	4	0	26	112	142	170	3e-10	57.0	N/A	Protein BTG1 OS=Gallus gallus GN=BTG1 PE=2 SV=1	N/A
comp16671_c0_seq1	sp|P04146|COPIA_DROME	40.62	64	38	0	203	12	1304	1367	2e-10	60.1	N/A	Copia protein OS=Drosophila melanogaster GN=GIP PE=1 SV=3	N/A
comp17145_c0_seq1	sp|Q9BQ39|DDX50_HUMAN	57.14	70	30	0	1	210	181	250	4e-21	90.9	N/A	ATP-dependent RNA helicase DDX50 OS=Homo sapiens GN=DDX50 PE=1 SV=1	N/A
comp17647_c0_seq1	sp|Q6IP09|PABPB_XENLA	95.77	71	3	0	1	213	238	308	4e-41	 145	N/A	Polyadenylate-binding protein 1-B OS=Xenopus laevis GN=pabpc1-b PE=2 SV=1	N/A
comp17819_c0_seq1	sp|Q8N2A0|CX062_HUMAN	55.79	95	38	3	1	276	72	165	1e-15	72.4	N/A	Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1	N/A
comp17995_c0_seq1	sp|P20342|RS15_XENLA	98.53	68	1	0	2	205	22	89	4e-11	58.9	N/A	40S ribosomal protein S15 OS=Xenopus laevis GN=rps15 PE=2 SV=3	N/A
comp18238_c0_seq1	sp|Q95276|RL5_PIG	98.21	56	1	0	40	207	1	56	1e-31	 112	N/A	60S ribosomal protein L5 (Fragment) OS=Sus scrofa GN=RPL5 PE=2 SV=3	N/A
comp18645_c0_seq1	sp|Q29496|CP3AO_SHEEP	62.64	91	34	0	2	274	403	493	3e-37	 134	N/A	Cytochrome P450 3A24 OS=Ovis aries GN=CYP3A24 PE=2 SV=1	N/A
comp18752_c0_seq1	sp|Q28IL6|RL22_XENTR	97.10	69	2	0	2	208	51	119	4e-28	 104	N/A	60S ribosomal protein L22 OS=Xenopus tropicalis GN=rpl22 PE=2 SV=3	N/A
comp19171_c0_seq1	sp|Q9PVY6|PSA7A_XENLA	96.15	26	1	0	3	80	205	230	5e-09	53.9	N/A	Proteasome subunit alpha type-7-A OS=Xenopus laevis GN=psma7-a PE=2 SV=1	N/A
comp19512_c0_seq1	sp|Q6DDC6|RS21_XENTR	90.28	72	7	0	2	217	12	83	1e-41	 137	N/A	40S ribosomal protein S21 OS=Xenopus tropicalis GN=rps21 PE=3 SV=1	N/A
comp19769_c0_seq1	sp|P98088|MUC5A_HUMAN	49.30	71	34	1	29	241	4520	4588	2e-14	72.4	N/A	Mucin-5AC (Fragments) OS=Homo sapiens GN=MUC5AC PE=1 SV=3	N/A
comp19872_c0_seq1	sp|P51856|K1C19_POTTR	77.69	130	28	1	20	406	268	397	2e-54	 181	N/A	Keratin, type I cytoskeletal 19 OS=Potorous tridactylus GN=KRT19 PE=2 SV=1	N/A
comp20109_c0_seq1	sp|Q31696|NU5M_ANOQN	67.11	76	24	1	227	3	189	264	6e-25	98.6	N/A	NADH-ubiquinone oxidoreductase chain 5 (Fragment) OS=Anopheles quadriannulatus GN=ND5 PE=3 SV=2	N/A
comp20110_c0_seq1	sp|P03891|NU2M_HUMAN	93.10	58	4	0	262	89	264	321	2e-19	84.3	N/A	NADH-ubiquinone oxidoreductase chain 2 OS=Homo sapiens GN=MT-ND2 PE=1 SV=2	N/A
comp20326_c0_seq1	sp|O95478|NSA2_HUMAN	99.06	106	1	0	2	319	95	200	1e-69	 215	N/A	Ribosome biogenesis protein NSA2 homolog OS=Homo sapiens GN=NSA2 PE=1 SV=1	N/A
comp20338_c0_seq1	sp|Q8CJD3|ZG16_RAT	67.39	92	30	0	3	278	55	146	9e-41	 137	N/A	Zymogen granule membrane protein 16 OS=Rattus norvegicus GN=Zg16 PE=2 SV=1	N/A
comp20430_c0_seq1	sp|Q5R767|SPRC_PONAB	91.43	70	6	0	3	212	171	240	3e-40	 139	N/A	SPARC OS=Pongo abelii GN=SPARC PE=2 SV=1	N/A
comp20558_c0_seq1	sp|Q01105|SET_HUMAN	89.47	57	6	0	86	256	32	88	1e-25	 101	N/A	Protein SET OS=Homo sapiens GN=SET PE=1 SV=3	N/A
comp20739_c0_seq1	sp|O92815|POL_WDSV	28.70	108	76	1	61	384	1391	1497	2e-07	52.8	N/A	Gag-Pol polyprotein OS=Walleye dermal sarcoma virus GN=gag-pol PE=1 SV=2	N/A
comp21079_c0_seq1	sp|P08728|K1C19_BOVIN	71.01	69	20	0	2	208	243	311	8e-28	 107	N/A	Keratin, type I cytoskeletal 19 OS=Bos taurus GN=KRT19 PE=2 SV=1	N/A
comp21247_c0_seq1	sp|Q28346|RL4_CANFA	89.53	86	9	0	1	258	111	196	5e-21	89.7	N/A	60S ribosomal protein L4 OS=Canis familiaris GN=RPL4 PE=1 SV=2	N/A
comp21360_c0_seq1	sp|P25815|S100P_HUMAN	64.71	34	12	0	1	102	58	91	5e-07	47.8	N/A	Protein S100-P OS=Homo sapiens GN=S100P PE=1 SV=2	N/A
comp21372_c0_seq1	sp|Q3UU35|OVOS_MOUSE	49.61	129	63	2	22	405	950	1077	6e-33	 129	N/A	Ovostatin homolog OS=Mus musculus GN=Ovos PE=2 SV=2	N/A
comp21575_c0_seq1	sp|P18907|AT1A1_HORSE	91.67	84	7	0	2	253	595	678	2e-45	 160	N/A	Sodium/potassium-transporting ATPase subunit alpha-1 OS=Equus caballus GN=ATP1A1 PE=3 SV=1	N/A
comp21836_c0_seq1	sp|Q9TTT7|CX6A1_RABIT	72.22	54	14	1	2	160	55	108	4e-19	81.3	N/A	Cytochrome c oxidase subunit 6A1, mitochondrial OS=Oryctolagus cuniculus GN=COX6A1 PE=3 SV=1	N/A
comp21914_c0_seq1	sp|Q8TGM6|TAR1_YEAST	59.26	54	19	1	230	69	43	93	4e-11	58.9	N/A	Protein TAR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAR1 PE=2 SV=1	N/A
comp22353_c0_seq1	sp|Q92123|AT1A1_XENLA	100.00	75	0	0	22	246	351	425	1e-45	 161	N/A	Sodium/potassium-transporting ATPase subunit alpha-1 OS=Xenopus laevis GN=atp1a1 PE=2 SV=1	N/A
comp22493_c0_seq1	sp|Q7ZWM4|ASSY_XENLA	87.88	99	12	0	35	331	49	147	1e-58	 192	N/A	Argininosuccinate synthase OS=Xenopus laevis GN=ass1 PE=2 SV=1	N/A
comp22745_c0_seq1	sp|P63245|GBLP_RAT	96.08	204	8	0	1	612	48	251	2e-145	 415	N/A	Guanine nucleotide-binding protein subunit beta-2-like 1 OS=Rattus norvegicus GN=Gnb2l1 PE=1 SV=3	N/A
comp22757_c0_seq1	sp|P85838|FRIH_TREBE	88.78	98	11	0	1	294	77	174	5e-58	 184	N/A	Ferritin, heavy subunit OS=Trematomus bernacchii PE=1 SV=1	N/A
comp22802_c0_seq1	sp|Q000K2|ADT2_TACAC	98.04	51	1	0	49	201	1	51	4e-26	 101	N/A	ADP/ATP translocase 2 OS=Tachyglossus aculeatus aculeatus GN=SLC25A5 PE=2 SV=1	N/A
comp22959_c0_seq1	sp|P23403|RS20_XENLA	86.57	67	9	0	90	290	1	67	8e-34	 119	N/A	40S ribosomal protein S20 OS=Xenopus laevis GN=rps20 PE=1 SV=1	N/A
comp23207_c0_seq1	sp|P42566|EPS15_HUMAN	69.70	33	3	1	203	105	167	192	2e-06	48.1	N/A	Epidermal growth factor receptor substrate 15 OS=Homo sapiens GN=EPS15 PE=1 SV=2	N/A
comp23219_c0_seq1	sp|P16221|COX8B_RAT	43.33	60	34	0	14	193	6	65	2e-11	59.3	N/A	Cytochrome c oxidase subunit 8B, mitochondrial OS=Rattus norvegicus GN=Cox8b PE=1 SV=3	N/A
comp23258_c0_seq1	sp|Q8N4C7|STX19_HUMAN	70.15	67	20	0	11	211	204	270	2e-24	97.1	N/A	Syntaxin-19 OS=Homo sapiens GN=STX19 PE=1 SV=1	N/A
comp23261_c0_seq1	sp|Q9NPI5|NRK2_HUMAN	68.18	66	21	0	13	210	88	153	7e-31	 113	N/A	Nicotinamide riboside kinase 2 OS=Homo sapiens GN=NMRK2 PE=1 SV=1	N/A
comp23457_c0_seq1	sp|Q5ZIR5|HMGN3_CHICK	58.51	94	38	1	79	360	1	93	7e-12	62.0	N/A	High mobility group nucleosome-binding domain-containing protein 3 OS=Gallus gallus GN=HMGN3 PE=3 SV=1	N/A
comp23507_c0_seq1	sp|P15924|DESP_HUMAN	71.75	308	69	3	23	898	2398	2703	9e-117	 377	N/A	Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3	N/A
comp23507_c0_seq1	sp|P15924|DESP_HUMAN	34.94	83	54	0	638	886	2258	2340	7e-09	60.8	N/A	Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3	N/A
comp23507_c0_seq1	sp|P15924|DESP_HUMAN	36.76	68	43	0	680	883	2105	2172	5e-07	55.1	N/A	Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3	N/A
comp23507_c0_seq1	sp|P15924|DESP_HUMAN	38.03	71	44	0	674	886	2027	2097	8e-07	54.3	N/A	Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3	N/A
comp23589_c0_seq1	sp|P02401|RLA2_RAT	74.19	62	16	0	56	241	1	62	2e-21	88.6	N/A	60S acidic ribosomal protein P2 OS=Rattus norvegicus GN=Rplp2 PE=1 SV=2	N/A
comp23645_c0_seq1	sp|Q09666|AHNK_HUMAN	53.33	105	43	2	1	297	2690	2794	9e-08	53.5	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp23645_c0_seq1	sp|Q09666|AHNK_HUMAN	53.85	104	42	2	4	297	3729	3832	4e-07	51.6	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp23645_c0_seq1	sp|Q09666|AHNK_HUMAN	51.92	104	44	2	4	297	2819	2922	4e-07	51.6	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp23645_c0_seq1	sp|Q09666|AHNK_HUMAN	53.33	105	43	2	1	297	4704	4808	5e-07	51.2	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp23645_c0_seq1	sp|Q09666|AHNK_HUMAN	54.41	68	25	2	1	186	4368	4435	5e-07	51.2	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp23645_c0_seq1	sp|Q09666|AHNK_HUMAN	52.38	105	44	2	1	297	4240	4344	9e-07	50.4	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp23645_c0_seq1	sp|Q09666|AHNK_HUMAN	47.52	101	47	2	1	285	3654	3754	1e-06	49.7	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp23645_c0_seq1	sp|Q09666|AHNK_HUMAN	52.38	105	44	2	1	297	2946	3050	2e-06	49.3	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp23645_c0_seq1	sp|Q09666|AHNK_HUMAN	51.43	105	45	2	1	297	3984	4088	3e-06	48.9	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp23645_c0_seq1	sp|Q09666|AHNK_HUMAN	52.38	105	44	2	1	297	3526	3630	6e-06	47.8	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp23759_c0_seq1	sp|Q99643|C560_HUMAN	73.68	76	20	0	1	228	40	115	8e-35	 122	N/A	Succinate dehydrogenase cytochrome b560 subunit, mitochondrial OS=Homo sapiens GN=SDHC PE=1 SV=1	N/A
comp23785_c0_seq1	sp|P29693|EF1D_XENLA	77.23	202	46	0	1	606	64	265	9e-76	 236	N/A	Elongation factor 1-delta OS=Xenopus laevis GN=eef1d PE=1 SV=1	N/A
comp23792_c0_seq1	sp|Q6P8D1|RSSA_XENTR	82.22	45	7	1	3	137	263	306	4e-12	63.5	N/A	40S ribosomal protein SA OS=Xenopus tropicalis GN=rpsa PE=2 SV=1	N/A
comp24030_c0_seq1	sp|Q717R8|EF1D_SHEEP	58.49	106	35	3	3	302	26	128	5e-29	 111	N/A	Elongation factor 1-delta OS=Ovis aries GN=EEF1D PE=2 SV=1	N/A
comp24127_c0_seq1	sp|Q5MIB5|PYGL_SHEEP	76.92	65	15	0	2	196	482	546	1e-29	 114	N/A	Glycogen phosphorylase, liver form OS=Ovis aries GN=PYGL PE=2 SV=3	N/A
